# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
37,4770,1.079277,2.332802,5.291756
39,5238,1.111156,2.425056,5.198547
39,5238,1.140710,2.370947,5.173218
39,5238,1.258437,2.597895,4.605654
40,5433,1.709397,3.278311,7.158447
40,5422,1.843415,3.249732,5.989506
40,5422,1.658602,2.828084,5.607964
40,5422,1.213458,2.514245,4.634053
40,5422,2.173648,4.123847,4.844869
39,5180,1.356359,2.720782,4.321771
40,5267,1.648263,3.160402,6.550026
40,5256,1.670588,2.859713,5.420180
39,5030,1.504350,2.469714,3.425014
39,5030,1.792427,2.858773,4.425997
23,3266,0.760833,1.891364,3.743360
27,3653,1.432021,2.575401,5.640703
27,3653,1.152721,2.929101,5.598050
27,3653,1.081376,2.123375,3.395189
27,3653,0.836444,1.701918,2.895899
23,3239,1.342942,2.556391,5.486152
23,3239,1.033697,1.525592,3.667859
19,2809,0.944114,1.505230,3.131028
19,2809,0.607146,1.085913,2.743552
20,2991,1.211084,2.239882,5.148075
19,2926,0.956059,1.401946,3.436958
18,2834,0.907374,1.468858,2.619302
19,3025,1.114830,2.082923,4.164764
12,2617,0.841244,1.559575,3.487354
10,2574,0.481487,1.157310,2.917000
11,2793,0.892221,1.589852,4.374596
11,2793,0.837933,1.871457,3.824490
11,2793,0.533545,1.317330,3.062865
11,2793,0.456089,1.175582,2.351465
12,2867,0.956352,1.612462,4.813784
12,2867,0.757155,1.634807,3.470431
12,2867,0.507070,1.181027,2.790273
11,2571,0.861772,4.341828,4.854392
11,2571,0.840815,1.842051,4.046903
11,2571,0.517253,1.402781,3.330989
11,2449,0.821331,1.739196,3.938170
11,2367,0.887653,2.531206,5.847416
11,2367,0.813029,1.713184,4.134617
12,2500,1.096274,2.944655,5.500954
12,2500,0.892622,2.190657,4.178474
13,2659,1.015389,2.893220,4.634950
13,2659,0.854552,2.262932,3.180649
13,2659,0.768743,2.196424,3.218139
14,2872,1.096467,2.947100,4.998971
14,2872,0.889802,2.496463,3.676150
14,2872,0.774360,2.146012,2.958117
15,3105,1.198118,3.193270,5.296253
15,3105,0.907349,2.419311,3.579046
15,3105,0.866199,2.341031,3.267848
15,3105,0.572655,1.868845,2.444941
16,3219,1.121594,3.234203,4.475491
16,3219,0.949051,2.151385,3.093609
16,3219,0.850199,1.670494,2.144521
17,3325,1.184911,2.372863,4.206465
16,3116,0.859759,1.678154,2.813517
17,3324,0.942907,1.932645,2.182264
17,3246,1.242143,2.967796,4.269411
17,3246,0.962039,1.983071,2.798633
17,3246,0.861458,1.709375,1.968423
19,3619,1.191128,2.401178,3.161917
18,3410,0.986374,1.992688,2.496800
18,3410,0.869632,1.712709,1.648178
19,3491,1.198855,2.430821,3.514709
19,3491,0.971493,1.926078,2.469472
19,3491,0.899279,1.685158,1.853264
20,3524,1.266894,2.864358,3.715138
20,3524,1.006682,1.886807,2.151372
20,3524,0.906409,1.600475,1.729686
21,3656,1.114783,1.954361,3.742570
21,3656,1.039263,1.979720,2.870197
21,3656,0.952757,1.646827,1.853328
22,3758,1.370520,2.786861,4.477606
22,3758,1.024948,1.904768,2.648593
22,3758,1.098214,2.064295,2.155029
23,3909,1.334474,3.113250,4.857307
23,3909,1.045815,2.146901,3.032804
23,3909,0.976980,1.829966,2.112669
24,4059,1.472684,2.942797,4.423791
24,4059,1.097302,2.055827,2.631209
24,4059,1.095443,2.184207,1.963294
25,4138,1.364459,3.451958,4.055494
25,4138,1.085389,2.219062,2.733087
26,4148,1.367560,2.782883,3.285157
26,4148,1.247975,2.045351,2.242896
27,4209,1.366060,2.869135,4.502806
26,3991,1.088687,1.960463,2.731539
28,4341,1.411231,2.749621,4.362690
28,4326,1.266603,2.090541,2.852378
29,4449,1.385973,2.902947,4.758508
29,4435,1.301063,2.190310,3.132639
29,4432,1.282672,2.367170,2.536958
30,4547,1.354930,2.500232,3.558453
30,4547,1.260760,2.133450,2.583388
31,4690,1.394504,2.971875,3.628387
30,4462,1.343530,2.430026,2.963546
31,4679,1.343814,2.388068,2.284468
32,4745,1.475458,3.173288,3.894151
32,4745,1.181858,2.137220,2.418247
32,4745,1.248845,1.991762,1.949723
33,4888,1.525410,3.467763,4.046896
32,4671,1.207732,2.130444,2.463392
34,4998,1.492544,2.961206,4.000194
34,4998,1.108364,2.234253,2.714303
35,5208,1.607793,3.278163,5.017260
35,5193,1.444306,2.512520,3.164306
35,5193,1.483713,2.648387,2.489136
